date	barCode	description	sellingPrice	landingPrice	quantity	partyName	withBox
06 Jul 2021	7046	MARCOMAN (100)	138	99	10	RAV	1
06 Jul 2021	7047	MACROMAN 80-90	125	86	7	RAV	0
06 Jul 2021	7049	POOMEX	98	94	3	RAV	0
06 Jul 2021	7050	POOMEX VEST W RN(90)	110	105	8	RAV	0
06 Jul 2021	7051	POOMEX VEST FLEXIBLE RN (W95)	129	134	9	RAV	0
06 Jul 2021	7052	POOMEX	96	94	12	RAV	0
06 Jul 2021	7053	POOMEX	78	75	10	RAV	0
06 Jul 2021	7054	POOMEX	84	75	10	RAV	0
06 Jul 2021	7055	POOMEX	115	113	10	RAV	0
06 Jul 2021	7056	POOMEX	115	105	20	RAV	0
06 Jul 2021	7057	POOMEX RNS W(100)	139	132	17	RAV	0
06 Jul 2021	7058	POOMEX	107	100	10	RAV	0
06 Jul 2021	7059	ESSA (W65RN)	47	37	16	RAV	0
06 Jul 2021	7060	SKC KIDS (W65)	51	40	10	RAV	0
06 Jul 2021	7061	SKC VEST	58	40	10	RAV	0
06 Jul 2021	7062	RUPA(RN95-10)	83	56	18	RAV	0
06 Jul 2021	7063	RUPA JOHN80-90 <W RN>	70	45	28	RAV	0
06 Jul 2021	7064	RUPA JOHN 80-90<W RNS>	92	65	26	RAV	0
06 Jul 2021	7065	RUPA VEST	106	75	19	RAV	0
06 Jul 2021	7066	SKC KIDS (W 50-55)	44	32	11	RAV	0
06 Jul 2021	7067	RUPA JOHN 80-90<C RN>	80	55	39	RAV	0
06 Jul 2021	7068	RUPA VEST	93	65	40	RAV	0
06 Jul 2021	7070	SKC GYM VEST 100CM	150	104	3	RAV	0
06 Jul 2021	7071	DOLLAR	102	75	29	RAV	0
06 Jul 2021	7072	RUPA JOHN 95-100(C RNS)	115	85	20	RAV	0
06 Jul 2021	7073	FROCK	825	478	3	HC	0
06 Jul 2021	7074	FROCK	1050	478	2	HC	0
06 Jul 2021	7075	TOP	1050	658	1	GT	0
06 Jul 2021	7076	ANKEL LEGIN XL	220	132	4	VL	0
06 Jul 2021	7078	FAIR LADY -95	66	49	23	RAV	0
06 Jul 2021	7079	ESSA LADIES SHTS	103	74	33	RAV	0
06 Jul 2021	7080	ESSA LADIES SHORTS	111	79	6	RAV	0
06 Jul 2021	7081	JULIA	117	75	42	RAV	0
06 Jul 2021	7082	POOMEX	87	79	10	RAV	0
06 Jul 2021	7083	POOMEX VEST RN (W85-90)	99	91	54	RAV	0
06 Jul 2021	7084	POOMEX	119	109	10	RAV	0
06 Jul 2021	7085	POOMEX (80RN)	102	93	3	RAV	0
06 Jul 2021	7086	POOMEX	114	103	5	RAV	0
06 Jul 2021	7087	POOMEX	134	120	5	RAV	0
06 Jul 2021	7088	POOMEX POCKET 90	165	151	23	RAV	0
06 Jul 2021	7089	POOMEX POCKET 95-100	186	170	22	RAV	0
06 Jul 2021	7090	POOMEX BRIEF 95-100	114	104	10	RAV	0
06 Jul 2021	7091	POOMEX BRIEF 95-100	114	104	7	RAV	0
06 Jul 2021	7092	POOMEX BRIEF 80-90	98	91	14	RAV	0
06 Jul 2021	7093	POOMEX	87	79	10	RAV	0
06 Jul 2021	7094	ESSA FAIRLADY	58	35	44	RAV	0
06 Jul 2021	7095	ESSA FAIRLADY	66	44	23	RAV	0
06 Jul 2021	7096	ESSA FAIRLADY	63	42	40	RAV	0
06 Jul 2021	7098	RUPA JON (85-90)	126	85	40	RAV	0
06 Jul 2021	7099	RUPA JOHN (W RN )	70	49	44	RAV	0
06 Jul 2021	7102	RUPA JOHN POCKET	142	97	11	RAV	0
06 Jul 2021	7103	RUPA JOHN POCKET 95-100	155	112	69	RAV	0
06 Jul 2021	7104	SKC GYM	150	94	8	RAV	0
06 Jul 2021	7105	GYM VEST	130	113	9	RAV	0
06 Jul 2021	7106	SKC GYM	120	88	4	RAV	0
06 Jul 2021	7107	DEO DEE VEST	120	88	5	RAV	0
06 Jul 2021	7108	JUNIR	49	36	15	RAV	0
06 Jul 2021	7109	RUPA JOHN 95-100(C RNS)	115	79	6	RAV	0
06 Jul 2021	7110	RUPA JOHN 80-90<C RNS)	110	69	20	RAV	0
06 Jul 2021	7111	RUPA JOHN 80-90 C RN	80	54	12	RAV	0
06 Jul 2021	7112	RUPA JOHN 80-90 <W RN>	70	45	10	RAV	0
06 Jul 2021	7114	RUPA JOHN 95-100<W RNS>	110	73	9	RAV	0
06 Jul 2021	7115	RUPA JOHN 80-90 <W RNS>	92	60	12	RAV	0
06 Jul 2021	7116	LUX COZI SLIP (95-100)	110	78	7	CH	0
06 Jul 2021	7117	LUX COZI SLIP (80-90)	95	63	5	CH	0
06 Jul 2021	7118	LUX COZI SLIP (80-90)	115	75	7	CH	0
06 Jul 2021	7119	SKC BEAUTY SLIP (80-90)	86	56	8	RAV	0
06 Jul 2021	7120	SKC BEAUTY SLIP (95-100)	96	56	3	RAV	0
06 Jul 2021	7121	SKC BEAUTY SLIP (85)	100	80	4	RAV	0
06 Jul 2021	7122	SKC RUBY SLIP (85-90)	100	80	4	CH	0
06 Jul 2021	7123	SKC RUBY SLIP (95-100)	110	85	8	CH	0
06 Jul 2021	7124	SKC RUBY SLIP (95-100)	110	80	8	CH	0
06 Jul 2021	7126	SKC KIDS SLIP (60)	55	31	9	CH	0
06 Jul 2021	7127	SHRUTHI SLIP (80-90)	150	100	19	CH	0
06 Jul 2021	7128	RUPA VEST	113	68	10	RAV	0
06 Jul 2021	7129	JOCKEY	250	235	14	CH	0
06 Jul 2021	7130	LUX COZI SLIP (80-90)	104	63	6	CH	0
06 Jul 2021	7131	BOYS PANT	510	301	18	N	0
06 Jul 2021	7132	BOYS PANT	490	289	27	N	0
06 Jul 2021	7133	JEANS PANT	510	299	3	N	0
06 Jul 2021	7134	BOYS PANT	510	301	8	N	0
06 Jul 2021	7135	BOYS PANT	530	312	5	N	0
06 Jul 2021	7136	BOYS PANT	520	303	3	N	0
06 Jul 2021	7137	BOYS PANT	410	244	4	N	0
06 Jul 2021	7138	BOYS PANT	470	275	5	N	0
06 Jul 2021	7139	BOYS PANT	550	326	10	N	0
06 Jul 2021	7140	BOYS PANT	440	257	9	N	0
06 Jul 2021	7141	BOYS PANT	560	332	8	N	0
06 Jul 2021	7142	BOYS PANT	610	357	4	N	0
06 Jul 2021	7143	BOYS PANT	530	312	5	N	0
06 Jul 2021	7144	BOYS PANT	450	262	5	N	0
06 Jul 2021	7145	BOYS PANT	500	294	25	N	0
06 Jul 2021	7146	BOYS PANT	610	359	4	N	0
06 Jul 2021	7147	BOYS PANT	550	325	5	N	0
06 Jul 2021	7148	BOYS PANT	510	299	4	N	0
06 Jul 2021	7149	BOYS PANT	540	317	5	N	0
06 Jul 2021	7150	BOYS PANT	620	364	5	N	0
06 Jul 2021	7151	BOYS PANT	540	317	5	N	0
06 Jul 2021	7152	BOYS PANT	680	400	5	N	0
06 Jul 2021	7153	BOYS PANT	610	357	5	N	0
06 Jul 2021	7154	BOYS PANT	570	338	8	N	0
06 Jul 2021	7155	BOYS PANT	560	331	5	N	0
06 Jul 2021	7156	BOYS PANT	650	380	21	N	0
06 Jul 2021	7157	BOYS PANT	600	355	5	N	0
06 Jul 2021	7158	BOYS PANT	570	338	5	N	0
06 Jul 2021	7159	BOYS PANT	560	331	5	N	0
06 Jul 2021	7160	BOYS PANT	500	294	4	N	0
06 Jul 2021	7161	BOYS PANT	580	337	30	N	0
06 Jul 2021	7162	LADIES JEANS	680	398	4	N	0
06 Jul 2021	7163	LADIES JEANS	680	398	3	N	0
06 Jul 2021	7164	LADIES JEANS	690	405	2	N	0
06 Jul 2021	7165	LADIES JEANS	790	464	2	N	0
06 Jul 2021	7166	LADIES JEANS	840	497	3	N	0
06 Jul 2021	7167	LADIES JEANS	750	442	4	N	0
06 Jul 2021	7168	LADIES JEANS	730	428	2	N	0
06 Jul 2021	7169	PANT	840	496	8	N	0
06 Jul 2021	7170	BOYS PANT	890	526	35	N	0
06 Jul 2021	7172	BOYS PANT	780	458	2	N	0
06 Jul 2021	7173	BOYS PANT	870	514	4	N	0
06 Jul 2021	7174	BOYS PANT	820	483	4	N	0
06 Jul 2021	7175	BOYS PANT	820	483	2	N	0
06 Jul 2021	7176	BOYS PANT	780	461	8	N	0
06 Jul 2021	7177	BOYS PANT	890	526	7	N	0
06 Jul 2021	7178	BOYS PANT	830	490	3	N	0
06 Jul 2021	7179	BOYS PANT	780	456	5	N	0
06 Jul 2021	7180	PANT	1150	677	4	N	0
06 Jul 2021	7181	PANT	970	569	7	N	0
06 Jul 2021	7182	BOYS PANT	1010	594	7	N	0
06 Jul 2021	7183	PANT	1060	622	7	N	0
06 Jul 2021	7184	PANT	960	565	6	N	0
06 Jul 2021	7185	BOYS PANT	920	544	4	N	0
06 Jul 2021	7186	PLAZZO SET	1520	894	4	BH	0
06 Jul 2021	7188	PLAZZO SET	810	478	2	BH	0
06 Jul 2021	7189	PLAZZO SET	1340	787	4	BH	0
06 Jul 2021	7190	TOP	730	428	3	BH	0
06 Jul 2021	7191	PLAZZO SET	940	554	4	BH	0
06 Jul 2021	7192	PLAZZO SET	900	529	4	BH	0
06 Jul 2021	7193	PLAZZO SET	770	453	2	BH	0
06 Jul 2021	7196	PLAZZO SET	790	466	3	BH	0
06 Jul 2021	7197	PLAZZO SET	700	409	1	BH	0
06 Jul 2021	7227	TSHIRT	410	244	34	MH	0
06 Jul 2021	7228	TSHIRT	540	320	9	MH	0
06 Jul 2021	7229	TSHIRT	540	320	10	MH	0
06 Jul 2021	7230	TSHIRT	540	320	8	MH	0
06 Jul 2021	7231	KIDS WEAR	460	268	8	MH	0
06 Jul 2021	7232	KIDS WEAR	460	268	4	MH	1
06 Jul 2021	7233	KIDS WEAR	460	268	4	MH	1
06 Jul 2021	7234	KIDS WEAR	460	268	3	MH	1
06 Jul 2021	7235	KIDS WEAR	700	409	4	MH	1
06 Jul 2021	7236	KIDS WEAR	660	390	3	MH	1
06 Jul 2021	7237	KIDS WEAR	710	417	3	MH	1
06 Jul 2021	7238	KIDS WEAR	710	415	2	MH	1
06 Jul 2021	7239	KIDS WEAR	410	244	8	MH	0
06 Jul 2021	7240	KIDS WEAR	470	275	12	MH	0
06 Jul 2021	7242	KIDS WEAR	380	225	3	MH	0
06 Jul 2021	7244	KIDS WEAR	520	308	6	MH	0
06 Jul 2021	7245	KIDS WEAR	490	289	1	MH	0
06 Jul 2021	7246	TSHIRT	670	394	11	MH	0
06 Jul 2021	7247	TSHIRT	780	457	5	MH	0
06 Jul 2021	7248	TSHIRT	780	457	15	MH	0
06 Jul 2021	7249	TSHIRT	780	457	18	MH	0
06 Jul 2021	7250	TSHIRT	590	346	16	MH	0
06 Jul 2021	7251	TSHIRT	780	457	16	MH	0
06 Jul 2021	7252	KIDS WEAR	740	435	3	MH	1
06 Jul 2021	7253	KIDS WEAR	1000	589	3	MH	0
06 Jul 2021	7254	KIDS WEAR	870	510	2	MH	0
06 Jul 2021	7255	KIDS WEAR	750	444	3	MH	0
06 Jul 2021	7256	KIDS WEAR	880	520	3	MH	0
06 Jul 2021	7257	KIDS WEAR	590	345	3	MH	0
06 Jul 2021	7258	KIDS WEAR	590	346	3	MH	0
06 Jul 2021	7259	KIDS WEAR	650	384	3	MH	0
06 Jul 2021	7260	KIDS WEAR	780	457	2	MH	0
06 Jul 2021	7261	KIDS WEAR	650	381	3	MH	0
06 Jul 2021	7262	KIDS WEAR	640	378	2	MH	0
06 Jul 2021	7263	KIDS WEAR	780	457	1	MH	0
06 Jul 2021	7264	KIDS WEAR	350	205	3	MH	0
06 Jul 2021	7266	KIDS WEAR	530	312	3	MH	0
06 Jul 2021	7267	KIDS WEAR	550	326	3	MH	0
06 Jul 2021	7268	BOYS WEAR	690	403	3	MH	0
06 Jul 2021	7270	BOYS WEAR	530	312	3	MH	0
06 Jul 2021	7271	KIDS WEAR	970	570	3	MH	0
06 Jul 2021	7272	KIDS WEAR	910	538	3	MH	0
06 Jul 2021	7273	KIDS WEAR	940	553	5	MH	0
06 Jul 2021	7274	KIDS SHIRT	700	409	3	MH	0
06 Jul 2021	7275	BOYS SHIRT	460	268	2	MH	0
06 Jul 2021	7276	KIDS SHIRT	480	283	8	MH	0
06 Jul 2021	7277	KIDS SHIRT	440	260	5	MH	0
06 Jul 2021	7278	KIDS SHIRT	560	331	4	MH	0
06 Jul 2021	7279	KIDS SHIRT	520	307	8	MH	0
06 Jul 2021	7280	KIDS SHIRT	550	323	3	MH	0
06 Jul 2021	7281	KIDS SHIRT	670	394	1	MH	0
06 Jul 2021	7282	KIDS SHIRT	500	292	3	MH	0
06 Jul 2021	7283	KIDS SHIRT	830	488	3	MH	0
06 Jul 2021	7285	KIDS SHIRT	470	275	3	MH	0
06 Jul 2021	7286	KIDS SHIRT	550	323	3	MH	0
06 Jul 2021	7287	KIDS SHIRT	400	236	5	MH	0
06 Jul 2021	7288	KIDS SHIRT	500	292	3	MH	0
06 Jul 2021	7289	KIDS SHIRT	430	252	3	MH	0
06 Jul 2021	7290	KIDS SHIRT	670	394	5	MH	0
06 Jul 2021	7291	KIDS SHIRT	510	299	12	MH	0
06 Jul 2021	7292	KIDS SHIRT	460	268	2	MH	0
06 Jul 2021	7293	KIDS SHIRT	480	283	8	MH	0
06 Jul 2021	7294	KIDS SHIRT	600	355	1	MH	0
06 Jul 2021	7295	KIDS SHIRT	460	268	1	MH	0
06 Jul 2021	7296	KIDS SHIRT	500	292	2	MH	0
06 Jul 2021	7297	KIDS SHIRT	540	315	3	MH	0
06 Jul 2021	7298	KIDS SHIRT	520	307	3	MH	0
06 Jul 2021	7303	KIDS SHIRT	510	299	3	MH	0
